Job_title , Company_name , Job_type , Location , Level_of_experience
Data Analyst,Hands of Hope Physical Therapy & Wellness -,Full Time,Maadi, Cairo, Egypt,Experienced
Data Analyst,FlairsTech -,Full Time,Maadi, Cairo, Egypt,Entry Level
Data Analyst,ITCan -,Full Time,New Cairo, Cairo, Egypt,Experienced
Data Analyst, Egypt Impact Lab,National Institute for Governance and Development -,Full Time,Nasr City, Cairo, Egypt,Experienced
Data Analyst (Tableau Developer),Fawry for Banking Technology and Electronic Payments S.A.E -,Full Time,6th of October, Giza, Egypt,Entry Level
Data Analyst - Food Industry - Obour,Olio Food -,Full Time,Obour City, Cairo, Egypt,Experienced
Sales Analyst,Confidential -,Full Time,Mohandessin, Giza, Egypt,Experienced
Pricing Analyst,Cartlow -,Full Time,Cairo, Egypt,Experienced
Data Analyst,Confidential -,Full Time,New Cairo, Cairo, Egypt,Experienced
Data Analyst,Infinity Clinic Pharma -,Full Time,Nasr City, Cairo, Egypt,Experienced
Data Analyst,The International School of Elite Education -,Full Time,New Cairo, Cairo, Egypt,Experienced
Data Analyst,Shifa Egypt -,Full Time,New Cairo, Cairo, Egypt,Experienced
Senior Business Analyst,BI-Technologies -,Full Time,New Cairo, Cairo, Egypt,Experienced
Data Analyst,Everlast -,Full Time,Heliopolis, Cairo, Egypt,Experienced
MIS & Business Performance Analyst,Masria Digital Payment (MDP) -,Full Time,New Cairo, Cairo, Egypt,Experienced
